BUS_SERVICE,OBJECTID_1,BUS_STOP_NUM,BUS_ROOF_NUM,UNIQUE_ID,INC_CRC,FMEL_UPD_D,longitude,latitude
4,145885,98301,B01,4512,DDE619209C81BE5E,2.02401E+13,103.96487994627272,1.3600196749165943
4,147550,97059,B08,1876,1A16832F03169390,2.02401E+13,103.97090810401374,1.360691913267422
4,147559,97049,B06,2099,3FED63F602F3A297,2.02401E+13,103.96970714037337,1.358113585830031
4,147105,98319,B02,2378,0D3FB03AC0EF9425,2.02401E+13,103.96840599570723,1.3591888687154776
19,144179,76199,B04,3428,6E9BD37291F51DDE,2.02401E+13,103.94529736683316,1.3565944459015506
19,144254,98121,B05,1072,015E2DE2634C3CA8,2.02401E+13,103.97019396953789,1.3720208237608271
19,144392,76201,B05,743,A0BBB3372C7BEB12,2.02401E+13,103.9478454957531,1.3568806000666633
19,144405,95049,B04,561,91AFCE6E052DA20D,2.02401E+13,103.99439339452705,1.373522200404767
19,144094,99041,B21,714,88464F598803E2D2,2.02401E+13,103.98553772956656,1.3878115805635245
19,144121,99181,B01,4364,88F1D2615DB1ACC7,2.02401E+13,103.98847365123517,1.3878059235682274
19,144469,95149,B08,559,4A272B08E2E30B1E,2.02401E+13,103.99790617038437,1.3814072495164353
19,144478,76191,B03,372,C23E8938DDE34D3F,2.02401E+13,103.94480175846428,1.3568857098798686
19,144767,95089,B03,482,7B6454CF6C0CED52,2.02401E+13,103.99584356243426,1.3896066014793171
19,144842,76249,B14,3410,9C78D1E842AA9E7E,2.02401E+13,103.95938607497794,1.358273148285138
19,144860,95061,B05,3863,A599FABA3091EFCD,2.02401E+13,103.99649120976038,1.377426908845178
19,144861,95069,B06,3864,F17A791967B219D2,2.02401E+13,103.99638027923363,1.3777791079429595
19,142403,98011,B01,3684,2F2BBC046F59777A,2.02401E+13,103.96294681157374,1.362238487692047
19,142407,99189,B02,3688,D34310C8EC415865,2.02401E+13,103.98963370939249,1.3883582772978307
19,142431,98071,B13,5043,04D068C5F3C3060D,2.02401E+13,103.97839546675829,1.3797671762181556
